"V1","V2","V3"
3919,2020,2197
4090,2020,2013
4261,2020,1958
4945,2020,1627
5100,2020,1676
5145,2020,1801
5146,2015,1817
5146,2020,1817
5315,2015,1677
5317,2020,1714
5318,2020,1731
5487,2015,1605
5490,2020,1689
5663,2020,1535
5815,2020,1172
5988,2015,1148
6002,2020,1374
6171,2020,1235
6331,2020,3363
6336,2020,3368
6337,2010,1165
6337,2015,1165
6345,2015,1181
6348,2020,1177
6355,2020,1357
6503,2015,3349
6503,2020,3349
6508,2015,3353
6508,2020,3353
6525,2015,1075
6525,2020,1075
6526,2020,1189
6527,2020,1234
6669,2020,884
6670,2015,885
6670,2020,885
6682,2015,3341
6685,2015,3340
6697,2015,1052
6697,2020,1052
6698,2020,1053
7011,2020,708
7029,2020,3321
7034,2020,3328
7044,2020,970
7216,2020,957
7365,2015,3272
7554,2020,3295
7726,2020,3297
7878,2015,3230
7900,2020,640
