"action","qin","mean(pp)","sqrt(var(pp)/length(pp))"
"bio",0.3,0.0898509440082408,0.0229055478404659
"bio",0.6,0.0308746740297801,0.00122552246626802
"bio",0.9,0.0279160000000001,8.70964917887179e-18
"none",0.3,2.42449641950568e-06,1.66831844777948e-07
"none",0.6,1.80377291252892e-06,1.6900606157128e-07
"none",0.9,2.27472053667822e-06,2.31883977688558e-07
"qin",0.3,0.00786099275707277,0.000943239635663203
"qin",0.6,0.00452767960795245,0.000670935776016546
"qin",0.9,0.00312660109003876,0.000648702630101278
"qout",0.3,0.0187680830696558,0.00224781001844416
"qout",0.6,0.0178049053852977,0.00261379678996208
"qout",0.9,0.0246628592690606,0.00475863628440441
